Allocation Subcategory,City,College,Gift Allocation,Gift Amount,Gift Date,Major,Prospect ID,State,Year,Month,Quarter,Weekday,Weekend,Donation Category
University Libraries,Richmond,College of Social Science,Campus Resource,2439.0,2010-06-10,World Politics,1409,VA,2010,June,2,Thursday,No,Premium
Diversity Fund,Richmond,College of Social Science,Endowment,2439.0,2011-06-17,World Politics,1409,VA,2011,June,2,Friday,No,Premium
Athletics,Orlando,College of Social Science,Campus Resource,2512.0,2010-11-24,Urban and Regional Planning,1410,FL,2010,November,4,Wednesday,No,Premium
Alumni Association,Orlando,College of Social Science,Campus Resource,2512.0,2011-03-27,Urban and Regional Planning,1410,FL,2011,March,1,Sunday,Yes,Premium
College of Social Science,Memphis,College of Arts and Sciences,Scholarship,7243.0,2010-05-08,Theatre,1411,TN,2010,May,2,Saturday,Yes,VIP
Campus Museums,Memphis,College of Arts and Sciences,Campus Resource,7243.0,2011-03-16,Theatre,1411,TN,2011,March,1,Wednesday,No,VIP
Athletics,Amarillo,College of Communication Arts and Sciences,Campus Resource,3766.0,2010-05-01,Media and Information,1412,TX,2010,May,2,Saturday,Yes,Premium
College of Social Science,Amarillo,College of Communication Arts and Sciences,Scholarship,3766.0,2011-02-04,Media and Information,1412,TX,2011,February,1,Friday,No,Premium
Diversity Fund,Alexandria,College of Political Science,Endowment,2130.0,2010-03-17,College of Political Science,1413,VA,2010,March,1,Wednesday,No,Premium
Trustees Fund,Alexandria,College of Political Science,Endowment,2130.0,2011-02-23,College of Political Science,1413,VA,2011,February,1,Wednesday,No,Premium
Campus Museums,San Francisco,College of Natural Science,Campus Resource,1965.0,2010-05-08,Biological Science Interdepartmental,1414,CA,2010,May,2,Saturday,Yes,Premium
College of Natural Science,San Francisco,College of Natural Science,Scholarship,1965.0,2011-01-23,Biological Science Interdepartmental,1414,CA,2011,January,1,Sunday,Yes,Premium
University Annual Fund,Orlando,College of Natural Science,Endowment,8650.0,2010-09-06,Environmental Biology/Plant Biol,1415,FL,2010,September,3,Monday,No,VIP
College of Arts and Sciences,Orlando,College of Natural Science,Scholarship,8650.0,2011-08-04,Environmental Biology/Plant Biol,1415,FL,2011,August,3,Thursday,No,VIP
College of Social Science,Denver,College of Social Science,Scholarship,1743.0,2010-11-09,Public Policy,1416,CO,2010,November,4,Tuesday,No,Premium
College of Social Science,Denver,College of Social Science,Scholarship,1743.0,2011-10-04,Public Policy,1416,CO,2011,October,4,Tuesday,No,Premium
Diversity Fund,Lansing,College of Natural Science,Endowment,9628.0,2010-05-08,Plant Biology,1417,MI,2010,May,2,Saturday,Yes,VIP
Faculty Chair Endowments,Lansing,College of Natural Science,Endowment,9628.0,2011-03-05,Plant Biology,1417,MI,2011,March,1,Saturday,Yes,VIP
Diversity Fund,San Francisco,College of Agriculture and Natural Resources,Endowment,6356.0,2010-02-14,Horticulture,1418,CA,2010,February,1,Sunday,Yes,VIP
College of Education,San Francisco,College of Agriculture and Natural Resources,Scholarship,6356.0,2011-10-26,Horticulture,1418,CA,2011,October,4,Wednesday,No,VIP
College of Engineering,Knoxville,College of Agriculture and Natural Resources,Scholarship,8955.0,2010-11-29,Entomology,1419,TN,2010,November,4,Monday,No,VIP
Trustees Fund,Knoxville,College of Agriculture and Natural Resources,Endowment,8955.0,2011-03-07,Entomology,1419,TN,2011,March,1,Monday,No,VIP
Campus Museums,Charleston,College of Social Science,Campus Resource,9970.0,2010-09-12,Public Policy,1420,SC,2010,September,3,Sunday,Yes,VIP
College of Music,Charleston,College of Social Science,Scholarship,9970.0,2011-07-15,Public Policy,1420,SC,2011,July,3,Friday,No,VIP
Minority Scholarship Fund,Salem,College of Social Science,Scholarship,9745.0,2010-05-10,Criminal Justice,1421,OR,2010,May,2,Monday,No,VIP
Campus Recreation,Salem,College of Social Science,Campus Resource,9745.0,2011-01-16,Criminal Justice,1421,OR,2011,January,1,Sunday,Yes,VIP
College of Political Science,New York,College of Arts and Sciences,Scholarship,7699.0,2010-01-22,Chinese,1422,NY,2010,January,1,Friday,No,VIP
In-State Scholarship Fund,New York,College of Arts and Sciences,Scholarship,7699.0,2011-03-03,Chinese,1422,NY,2011,March,1,Thursday,No,VIP
College of Social Science,New York,College of Education,Scholarship,7333.0,2010-04-28,Athletic Training,1423,NY,2010,April,2,Wednesday,No,VIP
In-State Scholarship Fund,New York,College of Education,Scholarship,7333.0,2011-12-13,Athletic Training,1423,NY,2011,December,4,Tuesday,No,VIP
College of Engineering,Phoenix,College of Arts and Sciences,Scholarship,8942.0,2010-11-23,Interdisciplinary Humanities,1424,AZ,2010,November,4,Tuesday,No,VIP
University Annual Fund,Phoenix,College of Arts and Sciences,Endowment,8942.0,2011-07-22,Interdisciplinary Humanities,1424,AZ,2011,July,3,Friday,No,VIP
College of Arts and Sciences,San Francisco,College of Arts and Sciences,Scholarship,6636.0,2010-09-07,Theatre,1425,CA,2010,September,3,Tuesday,No,VIP
College of Natural Science,San Francisco,College of Arts and Sciences,Scholarship,6636.0,2011-01-07,Theatre,1425,CA,2011,January,1,Friday,No,VIP
College of Natural Science,Tallahassee,College of Natural Science,Scholarship,1633.0,2010-09-24,Biomedical Laboratory Science,1426,FL,2010,September,3,Friday,No,Premium
University Annual Fund,Tallahassee,College of Natural Science,Endowment,1633.0,2011-07-10,Biomedical Laboratory Science,1426,FL,2011,July,3,Sunday,Yes,Premium
Campus Museums,Kansas City,College of Natural Science,Campus Resource,9329.0,2010-10-21,Biochemistry and Molecular Biology/Biotechnology,1427,MO,2010,October,4,Thursday,No,VIP
College of Natural Science,Kansas City,College of Natural Science,Scholarship,9329.0,2011-12-15,Biochemistry and Molecular Biology/Biotechnology,1427,MO,2011,December,4,Thursday,No,VIP
Diversity Fund,Omaha,College of Engineering,Endowment,4738.0,2010-12-25,Electrical Engineering,1428,NE,2010,December,4,Saturday,Yes,Premium
Campus Museums,Omaha,College of Engineering,Campus Resource,4738.0,2011-04-01,Electrical Engineering,1428,NE,2011,April,2,Friday,No,Premium
Athletics,Los Angeles,College of Natural Science,Campus Resource,8768.0,2010-09-19,Statistics,1429,CA,2010,September,3,Sunday,Yes,VIP
Diversity Fund,Los Angeles,College of Natural Science,Endowment,8768.0,2011-03-27,Statistics,1429,CA,2011,March,1,Sunday,Yes,VIP
Diversity Fund,Tallahassee,College of Agriculture and Natural Resources,Endowment,7665.0,2010-09-13,Agribusiness Management,1430,FL,2010,September,3,Monday,No,VIP
Diversity Fund,Tallahassee,College of Agriculture and Natural Resources,Endowment,7665.0,2011-12-06,Agribusiness Management,1430,FL,2011,December,4,Tuesday,No,VIP
Campus Recreation,Fort Lauderdale,College of Arts and Sciences,Campus Resource,3930.0,2010-09-04,Theatre,1431,FL,2010,September,3,Saturday,Yes,Premium
Campus Recreation,Fort Lauderdale,College of Arts and Sciences,Campus Resource,3930.0,2011-01-04,Theatre,1431,FL,2011,January,1,Tuesday,No,Premium
College of Social Science,Eugene,College of Social Science,Scholarship,4839.0,2010-04-26,Economics,1432,OR,2010,April,2,Monday,No,Premium
Trustees Fund,Eugene,College of Social Science,Endowment,4839.0,2011-01-13,Economics,1432,OR,2011,January,1,Thursday,No,Premium
College of Music,Kansas City,College of Agriculture and Natural Resources,Scholarship,4985.0,2010-10-19,Horticulture,1433,MO,2010,October,4,Tuesday,No,Premium
College of Social Science,Kansas City,College of Agriculture and Natural Resources,Scholarship,4985.0,2011-08-31,Horticulture,1433,MO,2011,August,3,Wednesday,No,Premium
College of Social Science,New Orleans,College of Arts and Sciences,Scholarship,5223.0,2010-09-14,Spanish,1434,LA,2010,September,3,Tuesday,No,VIP
Trustees Fund,New Orleans,College of Arts and Sciences,Endowment,5223.0,2011-06-21,Spanish,1434,LA,2011,June,2,Tuesday,No,VIP
University Annual Fund,Miami,College of Natural Science,Endowment,5170.0,2010-08-07,Physical Science Interdepartmental,1435,FL,2010,August,3,Saturday,Yes,VIP
University Annual Fund,Miami,College of Natural Science,Endowment,5170.0,2011-12-18,Physical Science Interdepartmental,1435,FL,2011,December,4,Sunday,Yes,VIP
University Annual Fund,Dallas,College of Arts and Sciences,Endowment,2031.0,2010-07-24,Chinese,1436,TX,2010,July,3,Saturday,Yes,Premium
University Annual Fund,Dallas,College of Arts and Sciences,Endowment,2031.0,2011-12-05,Chinese,1436,TX,2011,December,4,Monday,No,Premium
Trustees Fund,Boston,College of Social Science,Endowment,6979.0,2010-05-21,History,1437,MA,2010,May,2,Friday,No,VIP
College of Agriculture and Natural Resources,Boston,College of Social Science,Scholarship,6979.0,2011-02-22,History,1437,MA,2011,February,1,Tuesday,No,VIP
College of Arts and Sciences,Boston,College of Social Science,Scholarship,2838.0,2010-08-29,Criminal Justice,1438,MA,2010,August,3,Sunday,Yes,Premium
College of Arts and Sciences,Boston,College of Social Science,Scholarship,2838.0,2011-03-07,Criminal Justice,1438,MA,2011,March,1,Monday,No,Premium
Diversity Fund,Charleston,College of Engineering,Endowment,6519.0,2010-08-20,Biosystems Engineering,1439,SC,2010,August,3,Friday,No,VIP
College of Communication Arts and Sciences,Charleston,College of Engineering,Scholarship,6519.0,2011-02-05,Biosystems Engineering,1439,SC,2011,February,1,Saturday,Yes,VIP
Faculty Chair Endowments,Atlanta,College of Social Science,Endowment,6966.0,2010-01-22,World Politics,1440,GA,2010,January,1,Friday,No,VIP
College of Natural Science,Atlanta,College of Social Science,Scholarship,6966.0,2011-01-22,World Politics,1440,GA,2011,January,1,Saturday,Yes,VIP
Faculty Chair Endowments,Jacksonville,College of Social Science,Endowment,2128.0,2010-10-06,World Politics,1441,FL,2010,October,4,Wednesday,No,Premium
College of Arts and Sciences,Jacksonville,College of Social Science,Scholarship,2128.0,2011-07-09,World Politics,1441,FL,2011,July,3,Saturday,Yes,Premium
College of Arts and Sciences,Richmond,College of Agriculture and Natural Resources,Scholarship,6972.0,2010-03-14,Natural Resource Recreation and Tourism,1442,VA,2010,March,1,Sunday,Yes,VIP
College of Arts and Sciences,Richmond,College of Agriculture and Natural Resources,Scholarship,6972.0,2011-11-21,Natural Resource Recreation and Tourism,1442,VA,2011,November,4,Monday,No,VIP
College of Arts and Sciences,New York,College of Social Science,Scholarship,1737.0,2010-02-02,Global & Area Studies - Soc Sci,1443,NY,2010,February,1,Tuesday,No,Premium
In-State Scholarship Fund,New York,College of Social Science,Scholarship,1737.0,2011-09-24,Global & Area Studies - Soc Sci,1443,NY,2011,September,3,Saturday,Yes,Premium
Trustees Fund,Providence,College of Education,Endowment,7456.0,2010-10-22,Kinesiology,1444,RI,2010,October,4,Friday,No,VIP
College of Arts and Sciences,Providence,College of Education,Scholarship,7456.0,2011-09-13,Kinesiology,1444,RI,2011,September,3,Tuesday,No,VIP
College of Arts and Sciences,Richmond,College of Arts and Sciences,Scholarship,5317.0,2010-09-04,Apparel and Textiles,1445,VA,2010,September,3,Saturday,Yes,VIP
College of Arts and Sciences,Richmond,College of Arts and Sciences,Scholarship,5317.0,2011-10-28,Apparel and Textiles,1445,VA,2011,October,4,Friday,No,VIP
College of Arts and Sciences,Richmond,College of Arts and Sciences,Scholarship,4684.0,2010-12-05,Humanities-Prelaw,1446,VA,2010,December,4,Sunday,Yes,Premium
College of Agriculture and Natural Resources,Richmond,College of Arts and Sciences,Scholarship,4684.0,2011-08-11,Humanities-Prelaw,1446,VA,2011,August,3,Thursday,No,Premium
Alumni Association,Memphis,College of Political Science,Campus Resource,2192.0,2010-01-09,Social Relations and Policy,1447,TN,2010,January,1,Saturday,Yes,Premium
Minority Scholarship Fund,Memphis,College of Political Science,Scholarship,2192.0,2011-01-02,Social Relations and Policy,1447,TN,2011,January,1,Sunday,Yes,Premium
College of Social Science,Raleigh,College of Natural Science,Scholarship,8839.0,2010-08-17,Preoptometry,1448,NC,2010,August,3,Tuesday,No,VIP
College of Social Science,Jacksonville,College of Arts and Sciences,Scholarship,8881.0,2010-07-18,Studio Art,1449,FL,2010,July,3,Sunday,Yes,VIP
Minority Scholarship Fund,Richmond,College of Natural Science,Scholarship,451.0,2010-09-05,Actuarial Science,1450,VA,2010,September,3,Sunday,Yes,Medium
College of Natural Science,Indianapolis,College of Natural Science,Scholarship,7938.0,2010-04-29,Actuarial Science,1451,IN,2010,April,2,Thursday,No,VIP
College of Agriculture and Natural Resources,Denver,College of Agriculture and Natural Resources,Scholarship,13179.0,2010-09-09,Animal Science,1452,CO,2010,September,3,Thursday,No,VIP
Alumni Association,Birmingham,College of Social Science,Campus Resource,6325.0,2010-02-09,World Politics,1453,AL,2010,February,1,Tuesday,No,VIP
College of Agriculture and Natural Resources,Cincinnati,College of Business,Scholarship,1960.0,2010-07-02,Human Resource Management,1454,OH,2010,July,3,Friday,No,Premium
Trustees Fund,Denver,College of Arts and Sciences,Endowment,12055.5,2010-04-17,French,1455,CO,2010,April,2,Saturday,Yes,VIP
University Annual Fund,Nashville,College of Natural Science,Endowment,2473.0,2010-05-17,Biological Science Interdepartmental,1456,TN,2010,May,2,Monday,No,Premium
Minority Scholarship Fund,Omaha,College of Natural Science,Scholarship,7897.0,2010-12-03,Computational Mathematics,1457,NE,2010,December,4,Friday,No,VIP
Athletics,Houston,College of Engineering,Campus Resource,2705.0,2010-02-28,Environmental Engineering,1458,TX,2010,February,1,Sunday,Yes,Premium
College of Music,Chicago,College of Social Science,Scholarship,4777.0,2010-11-11,Sociology,1459,IL,2010,November,4,Thursday,No,Premium
College of Music,Eugene,College of Arts and Sciences,Scholarship,9941.0,2010-05-21,Interdisciplinary Humanities,1460,OR,2010,May,2,Friday,No,VIP
Faculty Chair Endowments,Durham,College of Arts and Sciences,Endowment,4469.0,2010-11-23,Apparel and Textile Design,1461,NC,2010,November,4,Tuesday,No,Premium
Diversity Fund,New York,College of Arts and Sciences,Endowment,628.0,2010-06-19,Arts & Letters-General,1462,NY,2010,June,2,Saturday,Yes,Large
College of Agriculture and Natural Resources,Kansas City,College of Engineering,Scholarship,6526.0,2010-11-29,Biosystems Engineering,1463,MO,2010,November,4,Monday,No,VIP
College of Agriculture and Natural Resources,Phoenix,College of Business,Scholarship,6893.0,2010-05-03,Finance,1464,AZ,2010,May,2,Monday,No,VIP
College of Social Science,Richmond,College of Natural Science,Scholarship,473.0,2010-03-16,Biochemistry and Molecular Biology,1465,VA,2010,March,1,Tuesday,No,Medium
College of Political Science,New Orleans,College of Agriculture and Natural Resources,Scholarship,1867.0,2010-02-22,Food Industry Management,1466,LA,2010,February,1,Monday,No,Premium
College of Arts and Sciences,Kansas City,College of Agriculture and Natural Resources,Scholarship,4973.0,2010-10-06,Packaging,1467,MO,2010,October,4,Wednesday,No,Premium
In-State Scholarship Fund,Tucson,College of Natural Science,Scholarship,2965.0,2010-05-04,Earth Science Interdepartmental,1468,AZ,2010,May,2,Tuesday,No,Premium
College of Communication Arts and Sciences,Durham,College of Nursing,Scholarship,6894.0,2010-05-26,Nursing,1469,NC,2010,May,2,Wednesday,No,VIP
Faculty Chair Endowments,Oklahoma City,College of Communication Arts and Sciences,Endowment,7020.0,2010-04-05,Advertising,1470,OK,2010,April,2,Monday,No,VIP
Trustees Fund,Miami,College of Agriculture and Natural Resources,Endowment,4487.0,2010-03-13,Interior Design,1471,FL,2010,March,1,Saturday,Yes,Premium
College of Social Science,Richmond,College of Social Science,Scholarship,7804.0,2010-09-10,Interdisciplinary Studies in Social Science - Social Science Education,1472,VA,2010,September,3,Friday,No,VIP
Minority Scholarship Fund,Tallahassee,College of Arts and Sciences,Scholarship,1509.0,2010-05-02,Interdisciplinary Humanities,1473,FL,2010,May,2,Sunday,Yes,Premium
Trustees Fund,Boston,College of Communication Arts and Sciences,Endowment,4012.0,2010-07-01,Media and Information,1474,MA,2010,July,3,Thursday,No,Premium
College of Social Science,San Diego,College of Social Science,Scholarship,4209.0,2010-09-06,Criminal Justice,1475,CA,2010,September,3,Monday,No,Premium
Faculty Chair Endowments,Minneapolis,College of Arts and Sciences,Endowment,4948.0,2010-12-17,Apparel and Textiles,1476,MN,2010,December,4,Friday,No,Premium
Diversity Fund,Atlanta,College of Natural Science,Endowment,5656.0,2010-02-20,Computational Mathematics,1477,GA,2010,February,1,Saturday,Yes,VIP
University Annual Fund,Provo,College of Business,Endowment,6845.0,2010-05-08,Accounting,1478,UT,2010,May,2,Saturday,Yes,VIP
Athletics,Wichita,College of Communication Arts and Sciences,Campus Resource,7347.0,2010-06-07,Media and Information,1479,KS,2010,June,2,Monday,No,VIP
College of Agriculture and Natural Resources,Charleston,College of Arts and Sciences,Scholarship,6657.0,2010-08-22,Studio Art,1480,SC,2010,August,3,Sunday,Yes,VIP
University Annual Fund,Anaheim,College of Business,Endowment,4912.0,2010-06-07,Supply Chain Management,1481,CA,2010,June,2,Monday,No,Premium
College of Political Science,Cedar Rapids,College of Arts and Sciences,Scholarship,3110.0,2010-06-19,Apparel and Textiles,1482,IA,2010,June,2,Saturday,Yes,Premium
University Annual Fund,Boston,College of Agriculture and Natural Resources,Endowment,6906.0,2010-09-18,Environmental Studies and Agriscience,1483,MA,2010,September,3,Saturday,Yes,VIP
Diversity Fund,Raleigh,College of Social Science,Endowment,9422.0,2010-10-07,Criminal Justice,1484,NC,2010,October,4,Thursday,No,VIP
University Annual Fund,Tallahassee,College of Nursing,Endowment,4036.0,2011-08-23,Summer Research Program,1485,FL,2011,August,3,Tuesday,No,Premium
Trustees Fund,Detroit,College of Natural Science,Endowment,5002.0,2010-08-08,Geological Sciences,1486,MI,2010,August,3,Sunday,Yes,VIP
Campus Museums,Atlanta,College of Natural Science,Campus Resource,8925.0,2011-05-12,Physical Science Interdepartmental,1487,GA,2011,May,2,Thursday,No,VIP
Campus Recreation,Detroit,College of Engineering,Campus Resource,5175.0,2010-06-27,Materials Science and Engineering,1488,MI,2010,June,2,Sunday,Yes,VIP
College of Arts and Sciences,Dallas,College of Social Science,Scholarship,4328.0,2011-08-02,Psychology,1489,TX,2011,August,3,Tuesday,No,Premium
Trustees Fund,Phoenix,College of Natural Science,Endowment,2805.0,2010-10-20,Physical Science Interdepartmental,1490,AZ,2010,October,4,Wednesday,No,Premium
College of Natural Science,Savannah,College of Social Science,Scholarship,5845.0,2011-03-22,Political Science-Prelaw,1491,GA,2011,March,1,Tuesday,No,VIP
Trustees Fund,Lansing,College of Social Science,Endowment,4204.0,2010-10-06,Interdisciplinary Studies in Social Science,1492,MI,2010,October,4,Wednesday,No,Premium
Athletics,Lansing,College of Social Science,Campus Resource,6074.0,2011-07-07,Interdisciplinary Studies in Social Science,1492,MI,2011,July,3,Thursday,No,VIP
Trustees Fund,Boston,College of Agriculture and Natural Resources,Endowment,9735.0,2010-09-08,Natural Resource Recreation and Tourism,1493,MA,2010,September,3,Wednesday,No,VIP
College of Natural Science,Denver,College of Arts and Sciences,Scholarship,14587.5,2011-10-15,Interdisciplinary Humanities,1494,CO,2011,October,4,Saturday,Yes,VIP
Alumni Association,Charlotte,College of Agriculture and Natural Resources,Campus Resource,5020.0,2010-10-12,Horticulture,1495,NC,2010,October,4,Tuesday,No,VIP
Alumni Association,Phoenix,College of Political Science,Campus Resource,41.0,2011-02-07,Social Relations and Policy,1496,AZ,2011,February,1,Monday,No,Small
University Annual Fund,Phoenix,College of Political Science,Endowment,41.0,2015-02-23,Social Relations and Policy,1496,AZ,2015,February,1,Monday,No,Small
Faculty Chair Endowments,Colorado Springs,College of Natural Science,Endowment,643.0,2010-06-21,Human Biology,1497,CO,2010,June,2,Monday,No,Large
Faculty Chair Endowments,Colorado Springs,College of Natural Science,Endowment,643.0,2015-11-27,Human Biology,1497,CO,2015,November,4,Friday,No,Large
College of Agriculture and Natural Resources,Oklahoma City,College of Natural Science,Scholarship,3349.0,2011-06-10,Earth Science Interdepartmental,1498,OK,2011,June,2,Friday,No,Premium
Honors Program,Oklahoma City,College of Natural Science,Campus Resource,3349.0,2015-08-03,Earth Science Interdepartmental,1498,OK,2015,August,3,Monday,No,Premium
College of Agriculture and Natural Resources,Chicago,College of Social Science,Scholarship,1384.0,2010-05-01,Urban and Regional Planning,1499,IL,2010,May,2,Saturday,Yes,Premium
Faculty Chair Endowments,Chicago,College of Social Science,Endowment,1384.0,2015-06-07,Urban and Regional Planning,1499,IL,2015,June,2,Sunday,Yes,Premium
Trustees Fund,Atlanta,College of Arts and Sciences,Endowment,2879.0,2011-11-14,German,1500,GA,2011,November,4,Monday,No,Premium
Faculty Chair Endowments,Atlanta,College of Arts and Sciences,Endowment,2879.0,2015-11-27,German,1500,GA,2015,November,4,Friday,No,Premium
Faculty Chair Endowments,Birmingham,College of Communication Arts and Sciences,Endowment,6003.0,2015-08-01,Media and Information,1501,AL,2015,August,3,Saturday,Yes,VIP
Faculty Chair Endowments,Birmingham,College of Communication Arts and Sciences,Endowment,6003.0,2015-12-27,Media and Information,1501,AL,2015,December,4,Sunday,Yes,VIP
University Annual Fund,New York,College of Business,Endowment,4065.0,2015-01-19,General Management,1502,NY,2015,January,1,Monday,No,Premium
Faculty Chair Endowments,New York,College of Business,Endowment,4065.0,2015-04-03,General Management,1502,NY,2015,April,2,Friday,No,Premium
Minority Scholarship Fund,Atlanta,College of Business,Scholarship,2379.0,2015-05-12,Finance,1503,GA,2015,May,2,Tuesday,No,Premium
College of Agriculture and Natural Resources,Atlanta,College of Business,Scholarship,2379.0,2015-10-09,Finance,1503,GA,2015,October,4,Friday,No,Premium
College of Agriculture and Natural Resources,Cincinnati,College of Arts and Sciences,Scholarship,714.0,2015-10-18,Professional Writing,1504,OH,2015,October,4,Sunday,Yes,Large
Faculty Chair Endowments,Cincinnati,College of Arts and Sciences,Endowment,714.0,2015-12-28,Professional Writing,1504,OH,2015,December,4,Monday,No,Large
Parents Association,Madison,College of Political Science,Campus Resource,6479.0,2015-10-23,Social Relations and Policy,1505,WI,2015,October,4,Friday,No,VIP
College of Arts and Sciences,Madison,College of Political Science,Scholarship,6479.0,2015-12-01,Social Relations and Policy,1505,WI,2015,December,4,Tuesday,No,VIP
College of Arts and Sciences,Houston,College of Social Science,Scholarship,6051.0,2015-01-31,World Politics,1506,TX,2015,January,1,Saturday,Yes,VIP
University Libraries,Houston,College of Social Science,Campus Resource,6051.0,2015-07-04,World Politics,1506,TX,2015,July,3,Saturday,Yes,VIP
College of Natural Science,Madison,College of Social Science,Scholarship,175.0,2015-07-01,Psychology,1507,WI,2015,July,3,Wednesday,No,Medium
Diversity Fund,Madison,College of Social Science,Endowment,175.0,2015-05-13,Psychology,1507,WI,2015,May,2,Wednesday,No,Medium
College of Arts and Sciences,Colorado Springs,College of Arts and Sciences,Scholarship,2119.0,2015-12-31,Interdisciplinary Humanities,1508,CO,2015,December,4,Thursday,No,Premium
College of Music,Colorado Springs,College of Arts and Sciences,Scholarship,2119.0,2015-09-11,Interdisciplinary Humanities,1508,CO,2015,September,3,Friday,No,Premium
Faculty Chair Endowments,Cincinnati,College of Natural Science,Endowment,3240.0,2015-10-02,Environmental Biology/Zoology,1509,OH,2015,October,4,Friday,No,Premium
College of Natural Science,Cincinnati,College of Natural Science,Scholarship,3240.0,2015-01-08,Environmental Biology/Zoology,1509,OH,2015,January,1,Thursday,No,Premium
College of Education,Los Angeles,College of Social Science,Scholarship,1563.0,2015-12-30,Human Development and Family Studies,1510,CA,2015,December,4,Wednesday,No,Premium
University Annual Fund,Los Angeles,College of Social Science,Endowment,1563.0,2015-07-15,Human Development and Family Studies,1510,CA,2015,July,3,Wednesday,No,Premium
College of Education,Durham,College of Social Science,Scholarship,4607.0,2015-10-11,Economics,1511,NC,2015,October,4,Sunday,Yes,Premium
Athletics,Durham,College of Social Science,Campus Resource,4607.0,2015-01-24,Economics,1511,NC,2015,January,1,Saturday,Yes,Premium
Athletics,Mesa,College of Political Science,Campus Resource,6182.0,2015-08-14,Social Relations and Policy,1512,AZ,2015,August,3,Friday,No,VIP
University Annual Fund,Mesa,College of Political Science,Endowment,6182.0,2015-12-04,Social Relations and Policy,1512,AZ,2015,December,4,Friday,No,VIP
College of Arts and Sciences,San Francisco,College of Music,Scholarship,7834.0,2015-02-25,Music,1513,CA,2015,February,1,Wednesday,No,VIP
Parents Association,San Francisco,College of Music,Campus Resource,7834.0,2015-01-10,Music,1513,CA,2015,January,1,Saturday,Yes,VIP
College of Education,Charlotte,College of Natural Science,Scholarship,9292.0,2015-06-07,Environmental Geosciences,1514,NC,2015,June,2,Sunday,Yes,VIP
Alumni Association,Charlotte,College of Natural Science,Campus Resource,9292.0,2015-11-26,Environmental Geosciences,1514,NC,2015,November,4,Thursday,No,VIP
College of Nursing,Cedar Rapids,College of Arts and Sciences,Scholarship,4461.0,2015-06-19,Arts & Letters-General,1515,IA,2015,June,2,Friday,No,Premium
College of Social Science,Cedar Rapids,College of Arts and Sciences,Scholarship,4461.0,2015-08-12,Arts & Letters-General,1515,IA,2015,August,3,Wednesday,No,Premium
University Annual Fund,Denver,College of Social Science,Endowment,7464.0,2015-03-30,History Education,1516,CO,2015,March,1,Monday,No,VIP
University Annual Fund,Denver,College of Social Science,Endowment,7464.0,2015-05-16,History Education,1516,CO,2015,May,2,Saturday,Yes,VIP
Trustees Fund,Henderson,College of Natural Science,Endowment,5085.0,2015-08-27,Predental,1517,NV,2015,August,3,Thursday,No,VIP
College of Social Science,Henderson,College of Natural Science,Scholarship,5085.0,2015-05-11,Predental,1517,NV,2015,May,2,Monday,No,VIP
Faculty Chair Endowments,Albuquerque,College of Social Science,Endowment,9079.0,2015-06-22,Anthropology,1518,NM,2015,June,2,Monday,No,VIP
College of Education,Albuquerque,College of Social Science,Scholarship,9079.0,2015-11-12,Anthropology,1518,NM,2015,November,4,Thursday,No,VIP
University Libraries,St. Louis,College of Engineering,Campus Resource,7795.0,2015-03-27,Computer Science,1519,MO,2015,March,1,Friday,No,VIP
University Libraries,St. Louis,College of Engineering,Campus Resource,7795.0,2015-02-27,Computer Science,1519,MO,2015,February,1,Friday,No,VIP
College of Arts and Sciences,West Valley City,College of Arts and Sciences,Scholarship,6155.0,2015-02-16,Japanese,1520,UT,2015,February,1,Monday,No,VIP
Minority Scholarship Fund,West Valley City,College of Arts and Sciences,Scholarship,6155.0,2015-04-28,Japanese,1520,UT,2015,April,2,Tuesday,No,VIP
College of Natural Science,Wichita,College of Social Science,Scholarship,7601.0,2015-03-06,Psychology,1521,KS,2015,March,1,Friday,No,VIP
Diversity Fund,Wichita,College of Social Science,Endowment,7601.0,2015-08-05,Psychology,1521,KS,2015,August,3,Wednesday,No,VIP
University Annual Fund,Provo,College of Social Science,Endowment,3478.0,2015-05-25,Public Policy,1522,UT,2015,May,2,Monday,No,Premium
Athletics,Provo,College of Social Science,Campus Resource,3478.0,2015-04-26,Public Policy,1522,UT,2015,April,2,Sunday,Yes,Premium
In-State Scholarship Fund,New York,College of Natural Science,Scholarship,8006.0,2015-11-15,Earth Science Interdepartmental,1523,NY,2015,November,4,Sunday,Yes,VIP
University Libraries,New York,College of Natural Science,Campus Resource,8006.0,2015-12-30,Earth Science Interdepartmental,1523,NY,2015,December,4,Wednesday,No,VIP
Diversity Fund,Phoenix,College of Natural Science,Endowment,243.0,2015-05-06,Plant Biology,1524,AZ,2015,May,2,Wednesday,No,Medium
University Annual Fund,Phoenix,College of Natural Science,Endowment,243.0,2015-11-09,Plant Biology,1524,AZ,2015,November,4,Monday,No,Medium
College of Music,Seattle,College of Agriculture and Natural Resources,Scholarship,6205.0,2015-02-26,Food Industry Management,1525,WA,2015,February,1,Thursday,No,VIP
College of Nursing,Seattle,College of Agriculture and Natural Resources,Scholarship,6205.0,2015-05-25,Food Industry Management,1525,WA,2015,May,2,Monday,No,VIP
College of Natural Science,Wichita,College of Agriculture and Natural Resources,Scholarship,8941.0,2015-09-13,Agriculture and Natural Resources-No Preference,1526,KS,2015,September,3,Sunday,Yes,VIP
